code,mun,municipio,poblacion,p2005
ys46,183,San Juan Bautista Tlachichilco,1447,1208
kf52,184,San Juan Bautista Tuxtepec,155766,132278
rjv0,185,San Juan Cacahuatepec,8680,7471
qj64,186,San Juan Cieneguilla,605,482
og17,187,San Juan Coatzóspam,2535,2197
iis4,188,San Juan Colorado,9494,8187
wwj5,189,San Juan Comaltepec,2517,2175
yx28,190,San Juan Cotzocón,22356,19226
lkc6,191,San Juan Chicomezúchil,320,267
kdi1,192,San Juan Chilateca,1442,1282
gcq3,193,San Juan del Estado,2546,2149
kr43,194,San Juan del Río,1231,1086
vfb8,195,San Juan Diuxi,1256,1101
kk58,196,San Juan Evangelista Analco,404,359
vao2,197,San Juan Guelavía,3047,2576
eik4,198,San Juan Guichicovi,28142,25014
yhh4,199,San Juan Ihualtepec,713,602
vxe8,200,San Juan Juquila Mixes,3924,3506
rpu5,201,San Juan Juquila Vijanos,1832,1651
nd67,202,San Juan Lachao,4531,3837
rqr6,203,San Juan Lachigalla,3285,2761
wec5,204,San Juan Lajarcia,715,617
cfm9,205,San Juan Lalana,17398,15108
fh23,206,San Juan de los Cués,2357,2015
rsj5,207,San Juan Mazatlán,17100,14436
dc16,208,San Juan Mixtepec -Dto. 08 -,7611,6092
vum3,209,San Juan Mixtepec -Dto. 26 -,711,660
jfk6,210,San Juan Ñumí,6666,5614
ins6,211,San Juan Ozolotepec,3168,2739
mp45,212,San Juan Petlapa,2807,2414
oez4,213,San Juan Quiahije,3628,3031
tw25,214,San Juan Quiotepec,2313,1968
yx00,215,San Juan Sayultepec,764,632
hxy9,216,San Juan Tabaá,1331,1194
mr32,217,San Juan Tamazola,3446,2978
nbr7,218,San Juan Teita,607,512
xn16,219,San Juan Teitipac,2565,2301
lk24,220,San Juan Tepeuxila,2773,2426
ibk8,221,San Juan Teposcolula,1340,1146
ms46,222,San Juan Yaeé,1530,1360
xoz1,223,San Juan Yatzona,452,399
kx46,224,San Juan Yucuita,684,616
ad08,225,San Lorenzo,5955,5262
eyy1,226,San Lorenzo Albarradas,2708,2341
bm91,227,San Lorenzo Cacaotepec,13704,11882
pc80,228,San Lorenzo Cuaunecuiltitla,771,647
zm74,229,San Lorenzo Texmelúcan,7048,5997
xrk9,230,San Lorenzo Victoria,1007,843
vrg6,231,San Lucas Camotlán,3026,2697
fs45,232,San Lucas Ojitlán,21514,18749
mbw4,233,San Lucas Quiaviní,1745,1592
vy83,234,San Lucas Zoquiápam,7554,6586
qpf5,235,San Luis Amatlán,3624,3041
aos0,236,San Marcial Ozolotepec,1525,1336
uaw2,237,San Marcos Arteaga,1557,1257
cdo4,238,San Martín de los Cansecos,816,733
ez03,239,San Martín Huamelúlpam,1077,884
ge09,240,San Martín Itunyoso,2460,2061
qo24,241,San Martín Lachilá,1084,900
my31,242,San Martín Peras,11361,9289
vr00,243,San Martín Tilcajete,1742,1504
mi14,244,San Martín Toxpalan,3669,3170
bqa2,245,San Martín Zacatepec,1277,1090
fw46,246,San Mateo Cajonos,620,533
gc69,247,Capulálpam de Méndez,1467,1300
umx8,248,San Mateo del Mar,14252,12387
aij0,249,San Mateo Yoloxochitlán,3475,2869
as47,250,San Mateo Etlatongo,1181,1036
mc47,251,San Mateo Nejápam,1180,1022
qp06,252,San Mateo Peñasco,2116,1782
tsi9,253,San Mateo Piñas,2226,2006
pv29,254,San Mateo Río Hondo,3308,2909
qc82,255,San Mateo Sindihui,2086,1761
jf16,256,San Mateo Tlapiltepec,234,194
rv64,257,San Melchor Betaza,1091,981
rzf4,258,San Miguel Achiutla,744,669
hl92,259,San Miguel Ahuehuetitlán,2465,2023
mt49,260,San Miguel Aloápam,2488,2242
rf70,261,San Miguel Amatitlán,7244,6131
la90,262,San Miguel Amatlán,1043,893
af60,263,San Miguel Coatlán,3483,2910
szv8,264,San Miguel Chicahua,2274,1894
cz03,265,San Miguel Chimalapa,6608,5366
evr5,266,San Miguel del Puerto,8481,7509
ji91,267,San Miguel del Río,294,265
xvp6,268,San Miguel Ejutla,916,790
ub39,269,San Miguel el Grande,4127,3492
duz7,270,San Miguel Huautla,1399,1247
xyb9,271,San Miguel Mixtepec,3245,2718
xv77,272,San Miguel Panixtlahuaca,6161,5273
kca8,273,San Miguel Peras,3497,2933
dr10,274,San Miguel Piedras,1296,1149
el64,275,San Miguel Quetzaltepec,7293,6577
vj96,276,San Miguel Santa Flor,801,668
ap27,277,Villa Sola de Vega,12525,10915
ym63,278,San Miguel Soyaltepec,36564,31499
xbw3,279,San Miguel Suchixtepec,2911,2601
evz8,280,Villa Talea de Castro,2394,2085
twp1,281,San Miguel Tecomatlán,308,243
af72,282,San Miguel Tenango,794,717
oqv7,283,San Miguel Tequixtepec,1042,895
pvx0,284,San Miguel Tilquiápam,3160,2653
xk82,285,San Miguel Tlacamama,3386,2971
nht8,286,San Miguel Tlacotepec,3220,2730
hq64,287,San Miguel Tulancingo,346,314
tbs6,288,San Miguel Yotao,611,542
fv34,289,San Nicolás,1143,1000
yfn5,290,San Nicolás Hidalgo,1012,833
df74,291,San Pablo Coatlán,4167,3556
jr82,292,San Pablo Cuatro Venados,1388,1184
zt04,293,San Pablo Etla,15535,13208
fh19,294,San Pablo Huitzo,6307,5486
gyt7,295,San Pablo Huixtepec,9025,7792
tsr6,296,San Pablo Macuiltianguis,929,845
oiu7,297,San Pablo Tijaltepec,2150,1734
sy84,298,San Pablo Villa de Mitla,11825,10056
owv3,299,San Pablo Yaganiza,1108,959
ct98,300,San Pedro Amuzgos,6468,5651
jnc7,301,San Pedro Apóstol,1544,1343
ht58,302,San Pedro Atoyac,4136,3639
os26,303,San Pedro Cajonos,1172,1030
tdp1,304,San Pedro Coxcaltepec Cántaros,851,764
frm3,305,San Pedro Comitancillo,3944,3497
taz4,306,San Pedro el Alto,3903,3294
qi06,307,San Pedro Huamelula,9594,8535
blg3,308,San Pedro Huilotepec,2839,2515
gu30,309,San Pedro Ixcatlán,10371,8938
bdw7,310,San Pedro Ixtlahuaca,6822,5804
wmt8,311,San Pedro Jaltepetongo,458,406
jt26,312,San Pedro Jicayán,11555,10027
kp81,313,San Pedro Jocotipac,834,769
ioz8,314,San Pedro Juchatengo,1693,1475
ow88,315,San Pedro Mártir,1711,1471
ika4,316,San Pedro Mártir Quiechapa,753,655
zsr7,317,San Pedro Mártir Yucuxaco,1405,1229
jmj9,318,San Pedro Mixtepec -Dto. 22 -,42860,36028
vwy7,319,San Pedro Mixtepec -Dto. 26 -,1099,963
iz28,320,San Pedro Molinos,723,606
bi87,321,San Pedro Nopala,840,723
ee21,322,San Pedro Ocopetatillo,884,740
rb25,323,San Pedro Ocotepec,2135,1862
